1Input Node : A Input Slew : 0.06n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][8.349999999999873e-11, 6.60733333333347e-11, 9.350000000000014e-11, 6.033333333333495e-11]
16Input Node : A Input Slew : 0.6n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.5049999999999943e-10, 1.5099999999999945e-10, 1.314999999999994e-10, 1.1766666666666763e-10]
17Input Node : A Input Slew : 0.6n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.1649999999999734e-10, 2.110000000000007e-10, 2.0450000000000028e-10, 1.593333333333322e-10]
18Input Node : A Input Slew : 0.6n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][3.234999999999979e-10, 2.993333333333348e-10, 3.4850000000000226e-10, 2.2907333333333328e-10]
19Input Node : A Input Slew : 0.6n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][7.309999999999976e-10, 5.847400000000014e-10, 9.549999999999985e-10, 5.720000000000004e-10]
20Input Node : A Input Slew : 0.6n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3404999999999988e-09, 1.0154066666666664e-09, 1.885e-09, 1.1356666666666653e-09]
21Input Node : A Input Slew : 1.2n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.924999999999999e-10, 1.9266666666666696e-10, 1.844999999999991e-10, 1.689999999999998e-10]
22Input Node : A Input Slew : 1.2n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.7899999999999955e-10, 2.7500000000000055e-10, 2.6649999999999944e-10, 2.2533333333333245e-10]
23Input Node : A Input Slew : 1.2n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][4.114999999999984e-10, 3.996666666666679e-10, 4.040000000000015e-10, 3.1033333333333205e-10]
24Input Node : A Input Slew : 1.2n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][8.284999999999998e-10, 7.274066666666693e-10, 9.664999999999983e-10, 6.017399999999996e-10]
25Input Node : A Input Slew : 1.2n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.4384999999999983e-09, 1.1550733333333348e-09, 1.886000000000001e-09, 1.1329999999999995e-09]
26Input Node : B Input Slew : 0.06n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][8.299999999999816e-11, 5.7406666666666744e-11, 9.899999999999976e-11, 5.266666666666666e-11]
27Input Node : B Input Slew : 0.06n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3400000000000057e-10, 9.173999999999969e-11, 1.7700000000000053e-10, 1.0233333333333251e-10]
28Input Node : B Input Slew : 0.06n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.3599999999999877e-10, 1.6207333333333336e-10, 3.330000000000004e-10, 1.9566666666666597e-10]
29Input Node : B Input Slew : 0.06n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][6.420000000000001e-10, 4.4374000000000115e-10, 9.539999999999982e-10, 5.646666666666666e-10]
30Input Node : B Input Slew : 0.06n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.2509999999999983e-09, 8.694066666666664e-10, 1.8855000000000006e-09, 1.122e-09]
31Input Node : B Input Slew : 0.18n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.0399999999999964e-10, 8.033333333333316e-11, 1.0399999999999881e-10, 5.8073333333334165e-11]
32Input Node : B Input Slew : 0.18n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.5499999999999874e-10, 1.1640666666666723e-10, 1.7799999999999835e-10, 1.0307333333333178e-10]
33Input Node : B Input Slew : 0.18n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.5699999999999694e-10, 1.8674000000000092e-10, 3.330000000000004e-10, 1.9400000000000142e-10]
34Input Node : B Input Slew : 0.18n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][6.629999999999991e-10, 4.68073333333335e-10, 9.540000000000015e-10, 5.63666666666667e-10]
35Input Node : B Input Slew : 0.18n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.2719999999999997e-09, 8.940733333333342e-10, 1.885e-09, 1.1210000000000004e-09]
36Input Node : B Input Slew : 0.42n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.4399999999999868e-10, 1.1066666666666601e-10, 1.3699999999999818e-10, 8.233333333333355e-11]
37Input Node : B Input Slew : 0.42n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.9999999999999765e-10, 1.586666666666659e-10, 1.9900000000000066e-10, 1.2500000000000073e-10]
38Input Node : B Input Slew : 0.42n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][3.0199999999999916e-10, 2.3540666666666455e-10, 3.3799999999999945e-10, 2.0274000000000123e-10]
39Input Node : B Input Slew : 0.42n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][7.079999999999971e-10, 5.160733333333326e-10, 9.53999999999999e-10, 5.606666666666669e-10]
40Input Node : B Input Slew : 0.42n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3159999999999984e-09, 9.414066666666667e-10, 1.8855000000000006e-09, 1.1179999999999982e-09]
41Input Node : B Input Slew : 0.6n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.6599999999999798e-10, 1.2633333333333264e-10, 1.6299999999999954e-10, 9.76666666666683e-11]
42Input Node : B Input Slew : 0.6n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.319999999999992e-10, 1.8266666666666748e-10, 2.239999999999984e-10, 1.4333333333333444e-10]
43Input Node : B Input Slew : 0.6n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][3.35999999999998e-10, 2.6900000000000005e-10, 3.5300000000000157e-10, 2.1840666666666862e-10]
44Input Node : B Input Slew : 0.6n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][7.409999999999998e-10, 5.527400000000004e-10, 9.540000000000015e-10, 5.594066666666673e-10]
45Input Node : B Input Slew : 0.6n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.3499999999999972e-09, 9.774066666666676e-10, 1.885999999999997e-09, 1.116333333333331e-09]
46Input Node : B Input Slew : 1.2n Output Capacitance : 0.025['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][2.1499999999999895e-10, 1.6000000000000071e-10, 2.3000000000000107e-10, 1.4333333333333442e-10]
47Input Node : B Input Slew : 1.2n Output Capacitance : 0.05['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][3.069999999999982e-10, 2.376666666666683e-10, 3.090000000000005e-10, 1.980000000000008e-10]
48Input Node : B Input Slew : 1.2n Output Capacitance : 0.1['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][4.439999999999964e-10, 3.563333333333333e-10, 4.280000000000006e-10, 2.8533333333333333e-10]
49Input Node : B Input Slew : 1.2n Output Capacitance : 0.3['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][8.52999999999997e-10, 6.750733333333355e-10, 9.679999999999991e-10, 5.780733333333343e-10]
50Input Node : B Input Slew : 1.2n Output Capacitance : 0.6['cell_rise_time (ns)', 'cell_fall_time (ns)', 'output_rise_time (ns)', 'output_fall_time (ns)'][1.459999999999997e-09, 1.0984066666666662e-09, 1.885999999999998e-09, 1.1100733333333332e-09]
